Column1,Column4,Column5,Column6,Column22,
year,gun,gunShot,knife,cases ,
89年,274,2604,78,"59,317",
90年,338,4212,64,"70,794",
91年,345,2823,32,"74,695",
92年,370,4044,117,"72,466",
93年,427,11295,67,"78,216",
94年,374,2600,102,"79,807",
95年,316,3770,37,"71,035",
96年,286,1921,41,"66,048",
97年,247,1935,14,"51,593",
98年,185,1823,56,"35,931",
99年,171,2268,16,"32,078",
100年,167,1456,25,"29,170",
101年,147,1250,9,"28,533",
102年,157,1726,11,"28,252",
103年,256,2351,16,"28,512",
104年,196,3081,11,"27,888",
105年,436,1973,17,"27,475",
106年,195,5071,12,"26,741",
107年,240,3448,26,"25,496",
108年,136,1598,4,"24,670",
