Year,Cases ,Gun,Gun shot,Knife
89年,"59,317",274,"2,604",78
90年,"70,794",338,"4,212",64
91年,"74,695",345,"2,823",32
92年,"72,466",370,"4,044",117
93年,"78,216",427,"11,295",67
94年,"79,807",374,"2,600",102
95年,"71,035",316,"3,770",37
96年,"66,048",286,"1,921",41
97年,"51,593",247,"1,935",14
98年,"35,931",185,"1,823",56
99年,"32,078",171,"2,268",16
100年,"29,170",167,"1,456",25
101年,"28,533",147,"1,250",9
102年,"28,252",157,"1,726",11
103年,"28,512",256,"2,351",16
104年,"27,888",196,"3,081",11
105年,"27,475",436,"1,973",17
106年,"26,741",195,"5,071",12
107年,"25,496",240,"3,448",26
108年,"24,670",136,"1,598",4
